$Tulloch Br1 inflow Tw year 2005 YC 04/11/2023,
",,,",
Jday,Inflow Tw
39.33333333,9.23
39.375,9.23
39.41666667,9.23
39.45833333,9.23
39.5,9.7
39.54166667,10.33
39.58333333,10.48
39.625,10.48
39.66666667,10.48
39.70833333,10.33
39.75,10.33
39.79166667,10.17
39.83333333,9.86
39.875,9.7
39.91666667,9.54
39.95833333,9.39
40,9.23
40.04166667,9.23
40.08333333,9.08
40.125,9.08
40.16666667,9.08
40.20833333,8.92
40.25,8.92
40.29166667,8.92
40.33333333,8.92
40.375,8.92
40.41666667,8.92
40.45833333,9.08
40.5,9.39
40.54166667,10.01
40.58333333,10.48
40.625,10.79
40.66666667,10.64
40.70833333,10.64
40.75,10.33
40.79166667,10.17
40.83333333,10.01
40.875,10.01
40.91666667,10.01
40.95833333,10.01
41,9.86
41.04166667,9.86
41.08333333,9.7
41.125,9.7
41.16666667,9.54
41.20833333,9.39
41.25,9.23
41.29166667,9.08
41.33333333,8.92
41.375,8.92
41.41666667,8.92
41.45833333,8.77
41.5,9.39
41.54166667,10.48
41.58333333,11.11
41.625,11.42
41.66666667,11.26
41.70833333,10.48
41.75,10.17
41.79166667,10.01
41.83333333,9.86
41.875,9.7
41.91666667,9.7
41.95833333,9.7
42,9.7
42.04166667,9.54
42.08333333,9.54
42.125,9.54
42.16666667,9.54
42.20833333,9.7
42.25,9.39
42.29166667,9.39
42.33333333,9.54
42.375,9.7
42.41666667,10.01
42.45833333,10.33
42.5,10.64
42.54166667,10.79
42.58333333,10.79
42.625,11.11
42.66666667,11.11
42.70833333,10.79
42.75,10.95
42.79166667,10.79
42.83333333,10.64
42.875,10.48
42.91666667,10.64
42.95833333,10.01
43,9.7
43.04166667,9.86
43.08333333,10.01
43.125,10.01
43.16666667,9.86
43.20833333,9.54
43.25,9.23
43.29166667,8.92
43.33333333,9.08
43.375,9.08
43.41666667,12.82
43.45833333,18.53
43.5,20.66
43.54166667,23.68
43.58333333,24.37
43.625,24.19
43.66666667,16.91
43.70833333,14.85
43.75,12.97
43.79166667,11.88
43.83333333,11.11
43.875,10.17
43.91666667,9.7
43.95833333,9.86
44,9.08
44.04166667,9.39
44.08333333,8.92
44.125,9.23
44.16666667,9.23
44.20833333,9.39
44.25,8.92
44.29166667,8.92
44.33333333,9.39
44.375,11.11
44.41666667,12.66
44.45833333,13.28
44.5,15.33
44.54166667,15.64
44.58333333,15.81
44.625,14.85
44.66666667,14.53
44.70833333,13.75
44.75,13.13
44.79166667,12.82
44.83333333,12.66
44.875,12.51
44.91666667,12.19
44.95833333,12.19
45,11.88
45.04166667,11.73
45.08333333,11.57
45.125,11.42
45.16666667,11.42
45.20833333,11.26
45.25,11.26
45.29166667,11.11
45.33333333,11.57
45.375,12.04
45.41666667,12.97
45.45833333,14.22
45.5,14.06
45.54166667,14.37
45.58333333,14.37
45.625,13.44
45.66666667,12.35
45.70833333,11.73
45.75,11.11
45.79166667,10.95
45.83333333,10.95
45.875,10.48
45.91666667,10.33
45.95833333,10.48
46,10.17
46.04166667,10.17
46.08333333,10.01
46.125,9.54
46.16666667,10.01
46.20833333,9.86
46.25,9.86
46.29166667,9.86
46.33333333,10.01
46.375,10.48
46.41666667,10.64
46.45833333,10.95
46.5,11.26
46.54166667,11.73
46.58333333,11.57
46.625,12.04
46.66666667,11.73
46.70833333,11.57
46.75,11.42
46.79166667,11.11
46.83333333,10.79
46.875,10.79
46.91666667,10.48
46.95833333,10.48
47,10.48
47.04166667,10.48
47.08333333,10.48
47.125,10.48
47.16666667,10.48
47.20833333,10.48
47.25,10.48
47.29166667,10.48
47.33333333,10.79
47.375,11.57
47.41666667,14.53
47.45833333,13.75
47.5,15.17
47.54166667,13.44
47.58333333,13.91
47.625,14.69
47.66666667,14.53
47.70833333,13.75
47.75,12.97
47.79166667,12.04
