$used Ripon Tw  for Tulloch qdt Tw year 2006  YC 04/10/2023,
",,,",
Jday,Inflow Tw
309.8333333,13.77777778
309.875,13.5
309.9166667,13.38888889
309.9583333,13.38888889
310,13.27777778
310.0416667,13.38888889
310.0833333,13.22222222
310.125,13.5
310.1666667,13.11111111
310.2083333,12.94444444
310.25,12.83333333
310.2916667,12.72222222
310.3333333,12.72222222
310.375,12.77777778
310.4166667,12.94444444
310.4583333,13.05555556
310.5,13.33333333
310.5416667,13.61111111
310.5833333,13.77777778
310.625,14
310.6666667,14.22222222
310.7083333,14.16666667
310.75,14
310.7916667,14
310.8333333,13.94444444
310.875,13.88888889
310.9166667,13.88888889
310.9583333,13.94444444
311,13.83333333
311.0416667,13.77777778
311.0833333,13.72222222
311.125,13.66666667
311.1666667,13.61111111
311.2083333,13.55555556
311.25,13.5
311.2916667,13.44444444
311.3333333,13.55555556
311.375,13.5
311.4166667,13.66666667
311.4583333,13.55555556
311.5,13.88888889
311.5416667,13.72222222
311.5833333,14.11111111
311.625,13.94444444
311.6666667,13.94444444
311.7083333,13.94444444
311.75,13.94444444
311.7916667,13.94444444
311.8333333,13.88888889
311.875,13.88888889
311.9166667,13.88888889
311.9583333,13.88888889
312,13.83333333
312.0416667,13.83333333
312.0833333,13.77777778
312.125,13.77777778
312.1666667,13.66666667
312.2083333,13.61111111
312.25,13.55555556
312.2916667,13.5
312.3333333,13.66666667
312.375,13.5
312.4166667,13.55555556
312.4583333,13.55555556
312.5,13.66666667
312.5416667,13.83333333
312.5833333,13.94444444
312.625,14
312.6666667,14.05555556
312.7083333,14.05555556
312.75,14
312.7916667,13.94444444
312.8333333,13.83333333
312.875,13.77777778
312.9166667,14
312.9583333,13.66666667
313,14
313.0416667,13.61111111
313.0833333,13.72222222
313.125,13.5
313.1666667,13.38888889
313.2083333,13.33333333
313.25,13.22222222
313.2916667,13.16666667
313.3333333,13.11111111
313.375,13.16666667
313.4166667,13.27777778
313.4583333,13.44444444
313.5,13.72222222
313.5416667,14
313.5833333,14.22222222
313.625,14.33333333
313.6666667,14.33333333
313.7083333,14.27777778
313.75,14.22222222
313.7916667,14.16666667
313.8333333,14.05555556
313.875,14
313.9166667,13.88888889
313.9583333,13.83333333
314,13.83333333
314.0416667,13.77777778
314.0833333,13.72222222
314.125,13.61111111
314.1666667,13.5
314.2083333,13.33333333
314.25,13.27777778
314.2916667,13.16666667
314.3333333,13.11111111
314.375,13.38888889
314.4166667,13.27777778
314.4583333,13.77777778
314.5,13.66666667
314.5416667,14.11111111
314.5833333,14
314.625,14.05555556
314.6666667,14.05555556
314.7083333,14.22222222
314.75,14
314.7916667,13.88888889
314.8333333,13.77777778
314.875,13.72222222
314.9166667,13.61111111
314.9583333,13.5
315,13.44444444
315.0416667,13.33333333
315.0833333,13.22222222
315.125,13.11111111
315.1666667,12.94444444
315.2083333,12.77777778
315.25,12.66666667
315.2916667,12.55555556
315.3333333,12.44444444
315.375,12.44444444
315.4166667,12.55555556
315.4583333,12.77777778
315.5,13.05555556
315.5416667,13.33333333
315.5833333,13.55555556
315.625,13.66666667
315.6666667,13.72222222
315.7083333,13.72222222
315.75,13.66666667
315.7916667,13.66666667
315.8333333,14.05555556
315.875,13.55555556
315.9166667,13.44444444
315.9583333,13.5
316,13.44444444
316.0416667,13.55555556
316.0833333,13.33333333
316.125,13.27777778
316.1666667,13.11111111
316.2083333,13
316.25,13
316.2916667,12.77777778
316.3333333,12.72222222
316.375,12.72222222
316.4166667,12.83333333
316.4583333,12.91666667
316.5,13
316.5416667,13.27777778
316.5833333,13.44444444
316.625,13.5
316.6666667,13.44444444
316.7083333,13.38888889
316.75,13.27777778
316.7916667,13.16666667
316.8333333,13.05555556
316.875,12.94444444
316.9166667,12.83333333
316.9583333,12.77777778
317,12.66666667
317.0416667,12.61111111
317.0833333,12.55555556
317.125,12.44444444
317.1666667,12.33333333
317.2083333,12.61111111
317.25,12.16666667
317.2916667,12.5
317.3333333,12
317.375,12.38888889
317.4166667,12.11111111
317.4583333,12.38888889
317.5,12.55555556
317.5416667,12.72222222
317.5833333,12.88888889
317.625,13
317.6666667,13
317.7083333,13
317.75,12.94444444
317.7916667,12.83333333
317.8333333,12.77777778
317.875,12.72222222
317.9166667,12.66666667
317.9583333,12.66666667
318,12.66666667
318.0416667,12.66666667
318.0833333,12.66666667
318.125,12.61111111
318.1666667,12.5
318.2083333,12.38888889
318.25,12.27777778
318.2916667,12.55555556
318.3333333,12.11111111
318.375,12.11111111
318.4166667,12.22222222
318.4583333,12.5
318.5,12.77777778
318.5416667,13.05555556
318.5833333,13.27777778
318.625,13.38888889
318.6666667,13.44444444
318.7083333,13.38888889
318.75,13.33333333
318.7916667,13.66666667
318.8333333,13.16666667
318.875,13.05555556
318.9166667,13.11111111
318.9583333,13
319,13.16666667
319.0416667,12.94444444
319.0833333,13.33333333
319.125,12.88888889
319.1666667,12.77777778
319.2083333,12.61111111
319.25,12.5
319.2916667,12.38888889
319.3333333,12.33333333
319.375,12.33333333
319.4166667,12.44444444
319.4583333,12.61111111
319.5,12.83333333
319.5416667,13.05555556
319.5833333,13.22222222
319.625,13.33333333
319.6666667,13.33333333
319.7083333,13.27777778
319.75,13.16666667
319.7916667,13.05555556
319.8333333,12.94444444
319.875,12.83333333
319.9166667,12.72222222
319.9583333,12.66666667
320,12.61111111
320.0416667,12.55555556
320.0833333,12.55555556
320.125,12.44444444
320.1666667,12.38888889
320.2083333,12.22222222
320.25,12.11111111
320.2916667,12
320.3333333,11.94444444
320.375,12.38888889
320.4166667,12.11111111
320.4583333,12.27777778
320.5,12.66666667
320.5416667,12.77777778
320.5833333,13.22222222
320.625,13.05555556
320.6666667,13.05555556
320.7083333,13
320.75,12.94444444
320.7916667,12.83333333
320.8333333,12.77777778
320.875,12.66666667
320.9166667,12.55555556
320.9583333,12.5
321,12.5
321.0416667,12.44444444
321.0833333,12.38888889
321.125,12.27777778
321.1666667,12.16666667
321.2083333,12
321.25,11.83333333
321.2916667,11.72222222
321.3333333,11.61111111
321.375,11.66666667
321.4166667,11.77777778
321.4583333,12
321.5,12.27777778
321.5416667,12.5
321.5833333,12.72222222
321.625,12.83333333
321.6666667,12.83333333
321.7083333,12.77777778
321.75,12.72222222
321.7916667,12.61111111
321.8333333,12.94444444
321.875,12.44444444
321.9166667,12.77777778
321.9583333,12.33333333
322,12.22222222
322.0416667,12.27777778
322.0833333,12.11111111
322.125,12.27777778
322.1666667,11.88888889
322.2083333,11.72222222
322.25,11.55555556
322.2916667,11.44444444
322.3333333,11.38888889
322.375,11.44444444
322.4166667,11.55555556
322.4583333,11.77777778
322.5,12.05555556
322.5416667,12.27777778
322.5833333,12.5
322.625,12.61111111
322.6666667,12.61111111
322.7083333,12.55555556
322.75,12.5
322.7916667,12.38888889
322.8333333,12.77777778
322.875,12.27777778
322.9166667,12.11111111
322.9583333,12.05555556
323,12
323.0416667,11.94444444
323.0833333,11.88888889
323.125,11.83333333
323.1666667,11.66666667
323.2083333,11.5
323.25,11.38888889
323.2916667,11.22222222
323.3333333,11.16666667
323.375,11.16666667
323.4166667,11.61111111
323.4583333,11.55555556
323.5,12.22222222
323.5416667,12.11111111
323.5833333,12.27777778
323.625,12.5
323.6666667,12.38888889
323.7083333,12.72222222
323.75,12.27777778
323.7916667,12.16666667
323.8333333,12.05555556
323.875,11.88888889
323.9166667,11.77777778
323.9583333,11.72222222
324,11.66666667
324.0416667,11.66666667
324.0833333,11.55555556
324.125,11.5
324.1666667,11.33333333
324.2083333,11.22222222
324.25,11.05555556
324.2916667,10.94444444
324.3333333,10.88888889
324.375,10.94444444
324.4166667,11.05555556
324.4583333,11.22222222
324.5,11.5
324.5416667,11.77777778
324.5833333,11.94444444
324.625,12.05555556
324.6666667,12.05555556
324.7083333,12
324.75,11.94444444
324.7916667,11.88888889
324.8333333,11.77777778
324.875,11.66666667
324.9166667,11.61111111
324.9583333,11.66666667
325,11.55555556
325.0416667,11.44444444
325.0833333,11.61111111
325.125,11.27777778
325.1666667,11.55555556
325.2083333,11
325.25,10.83333333
325.2916667,10.66666667
325.3333333,10.61111111
325.375,10.61111111
325.4166667,10.72222222
325.4583333,11.05555556
325.5,11.22222222
325.5416667,11.44444444
325.5833333,11.66666667
325.625,11.77777778
325.6666667,11.77777778
325.7083333,11.77777778
325.75,11.66666667
325.7916667,11.61111111
325.8333333,11.5
325.875,11.38888889
325.9166667,11.33333333
325.9583333,11.5
326,11.27777778
326.0416667,11.22222222
326.0833333,11.16666667
326.125,11.05555556
326.1666667,10.94444444
326.2083333,10.83333333
326.25,10.66666667
326.2916667,10.55555556
326.3333333,10.55555556
326.375,10.55555556
326.4166667,11.05555556
326.4583333,10.83333333
326.5,11.5
326.5416667,11.33333333
326.5833333,11.44444444
326.625,11.66666667
326.6666667,11.55555556
326.7083333,11.88888889
326.75,11.44444444
326.7916667,11.33333333
326.8333333,11.22222222
326.875,11.16666667
326.9166667,11.05555556
326.9583333,11
327,10.94444444
327.0416667,10.94444444
327.0833333,10.88888889
327.125,10.77777778
327.1666667,10.66666667
327.2083333,10.55555556
327.25,10.44444444
327.2916667,10.33333333
327.3333333,10.33333333
327.375,10.33333333
327.4166667,10.5
327.4583333,10.66666667
327.5,10.94444444
327.5416667,11.22222222
327.5833333,11.38888889
327.625,11.5
327.6666667,11.55555556
327.7083333,11.55555556
327.75,11.5
327.7916667,11.44444444
327.8333333,11.38888889
327.875,11.27777778
327.9166667,11.77777778
327.9583333,11.22222222
328,11.16666667
328.0416667,11.27777778
328.0833333,11.11111111
328.125,11.55555556
328.1666667,11
328.2083333,10.83333333
328.25,10.94444444
328.2916667,10.61111111
328.3333333,10.55555556
328.375,10.61111111
328.4166667,10.72222222
328.4583333,10.94444444
328.5,11.11111111
328.5416667,11.22222222
328.5833333,11.38888889
328.625,11.5
328.6666667,11.5
328.7083333,11.5
328.75,11.44444444
328.7916667,11.44444444
328.8333333,11.44444444
328.875,11.38888889
328.9166667,11.44444444
328.9583333,11.44444444
329,11.5
329.0416667,11.5
329.0833333,11.55555556
329.125,11.55555556
329.1666667,11.55555556
329.2083333,11.5
329.25,11.55555556
329.2916667,11.55555556
329.3333333,11.66666667
329.375,11.83333333
329.4166667,11.77777778
329.4583333,12.38888889
329.5,12.55555556
329.5416667,12.61111111
329.5833333,12.22222222
329.625,12.27777778
329.6666667,12.44444444
329.7083333,12.44444444
