$Tulloch Br1 inflow year 2005 YC 04/11/2023,
",,,",
Jday,Inflow
137.4583333,93.64292793
137.5,93.5579782
137.5416667,93.52966162
137.5833333,93.4163953
137.625,93.47302846
137.6666667,93.33144556
137.7083333,93.52966162
137.75,93.50134504
137.7916667,93.21817924
137.8333333,93.44471188
137.875,93.61461135
137.9166667,90.64137052
137.9583333,7.872009061
138,4.275803483
138.0416667,46.35424041
138.0833333,48.10986833
138.125,49.10094861
138.1666667,48.87441597
138.2083333,48.5629336
138.25,51.19637548
138.2916667,117.7120204
138.3333333,121.3365425
138.375,122.0727736
138.4166667,121.9878239
138.4583333,122.3559394
138.5,77.84227665
138.5416667,120.8551607
138.5833333,118.7880504
138.625,120.8268441
138.6666667,120.6003115
138.7083333,120.4587286
138.75,120.2888291
138.7916667,120.232196
138.8333333,120.3171457
138.875,120.3454623
138.9166667,117.6270706
138.9583333,50.26192836
139,24.23899193
139.0416667,45.78790882
139.0833333,47.31700411
139.125,47.37363726
139.1666667,47.26037095
139.2083333,47.65680306
139.25,49.07263203
139.2916667,88.03624522
139.3333333,90.01840578
139.375,90.81127
139.4166667,108.9055642
139.4583333,107.7162679
139.5,110.066544
139.5416667,110.26476
139.5833333,117.3722214
139.625,78.94662325
139.6666667,15.37590259
139.7083333,106.0455897
139.75,105.5075747
139.7916667,93.89777715
139.8333333,92.96333003
139.875,93.21817924
139.9166667,93.16154609
139.9583333,109.5002124
140,109.4152626
140.0416667,52.58388787
140.0833333,48.84609939
140.125,48.70451649
140.1666667,48.5629336
140.2083333,48.78946623
140.25,49.12926518
140.2916667,48.76114965
140.3333333,49.10094861
140.375,50.63004389
140.4166667,99.19297749
140.4583333,120.7135778
140.5,121.0250602
140.5416667,121.506442
140.5833333,121.3648591
140.625,121.6763415
140.6666667,122.5541555
140.7083333,123.0921705
140.75,122.922271
140.7916667,110.3780263
140.8333333,110.066544
140.875,121.6197083
140.9166667,122.6107886
140.9583333,121.0816933
141,91.80235028
141.0416667,7.956958799
141.0833333,1.019396857
141.125,1.019396857
141.1666667,1.019396857
141.2083333,1.019396857
141.25,6.201330879
141.2916667,41.99348719
141.3333333,46.52413988
141.375,91.15106895
141.4166667,92.53858134
141.4583333,93.10491293
141.5,100.637123
141.5416667,119.9490302
141.5833333,121.3365425
141.625,121.2232762
141.6666667,121.4214923
141.7083333,121.6763415
141.75,120.9117939
141.7916667,121.1383265
141.8333333,122.1860399
141.875,122.582472
141.9166667,121.5913918
141.9583333,120.9967436
142,91.71740054
142.0416667,8.35339091
142.0833333,1.019396857
142.125,1.019396857
142.1666667,1.019396857
142.2083333,1.019396857
142.25,6.682712728
142.2916667,46.15602435
142.3333333,48.19481807
142.375,50.63004389
142.4166667,116.9474727
142.4583333,120.5153617
142.5,121.3931757
142.5416667,121.3365425
142.5833333,121.4214923
142.625,121.506442
142.6666667,121.3931757
142.7083333,121.1949596
142.75,121.1100099
142.7916667,120.7985275
142.8333333,121.1666431
142.875,121.2799094
142.9166667,119.8357638
142.9583333,94.2375761
143,90.32988815
143.0416667,7.277360895
143.0833333,0.934447119
143.125,0.934447119
143.1666667,0.934447119
143.2083333,0.934447119
143.25,9.004672236
143.2916667,109.9249611
143.3333333,115.6449101
143.375,115.5882769
143.4166667,115.6165935
143.4583333,115.4750106
143.5,115.1918448
143.5416667,115.4183775
143.5833333,115.4183775
143.625,115.248478
143.6666667,115.5599604
143.7083333,115.248478
143.75,115.1068951
143.7916667,114.9369956
143.8333333,115.1352117
143.875,115.1352117
