$Br1 inflow Tw year 2005 YC 03/22/2023,
",,,",
Jday,Tw
149.3333333,14.41345154
149.375,14.38094328
149.4166667,14.34843502
149.4583333,14.32676285
149.5,14.29425459
149.5416667,14.22923807
149.5833333,14.19672981
149.625,14.17505764
149.6666667,14.30305891
149.7083333,14.14254938
149.75,14.14254938
149.7916667,14.14254938
149.8333333,14.17505764
149.875,14.19672981
149.9166667,14.22923807
149.9583333,14.26174633
150,13.62217425
150.0416667,13.6666775
150.0833333,13.71118075
150.125,13.74084959
150.1666667,13.78535284
150.2083333,13.7507392
150.25,13.78535284
150.2916667,13.78535284
150.3333333,13.78535284
150.375,13.78535284
150.4166667,13.78535284
150.4583333,13.78535284
150.5,13.78535284
150.5416667,13.78535284
150.5833333,13.78535284
150.625,13.74084959
150.6666667,13.7507392
150.7083333,13.71118075
150.75,13.71118075
150.7916667,13.71118075
150.8333333,13.71118075
150.875,13.71118075
150.9166667,13.78535284
150.9583333,13.82985609
151,13.75784703
151.0416667,13.78993933
151.0833333,13.83807777
151.125,13.88621622
151.1666667,13.93435466
151.2083333,13.91396268
151.25,14.0145854
151.2916667,14.0145854
151.3333333,14.06272385
151.375,14.06272385
151.4166667,14.06272385
151.4583333,14.0145854
151.5,14.0145854
151.5416667,13.98249311
151.5833333,13.93435466
151.625,13.88621622
151.6666667,13.83807777
151.7083333,13.83807777
151.75,13.78993933
151.7916667,13.78993933
151.8333333,13.78993933
151.875,13.83807777
151.9166667,13.91396268
151.9583333,13.93435466
152,14.50569858
152.0416667,14.54863626
152.0833333,14.59157393
152.125,14.63451161
152.1666667,14.67744929
152.2083333,14.67744929
152.25,14.67744929
152.2916667,14.63451161
152.3333333,14.59157393
152.375,14.45709552
152.4166667,14.54863626
152.4583333,14.50569858
152.5,14.43413579
152.5416667,14.39119811
152.5833333,14.34826044
152.625,14.34826044
152.6666667,14.30532276
152.7083333,14.27669764
152.75,14.27669764
152.7916667,14.27669764
152.8333333,14.27669764
152.875,14.27669764
152.9166667,14.45709552
152.9583333,14.30532276
153,14.60790006
153.0416667,14.6472381
153.0833333,14.68657613
153.125,14.72591417
153.1666667,14.72591417
153.2083333,14.75213953
153.25,14.75213953
153.2916667,14.75213953
153.3333333,14.72591417
153.375,14.57320609
153.4166667,14.6472381
153.4583333,14.60790006
153.5,14.56856202
153.5416667,14.50299862
153.5833333,14.50299862
153.625,14.46366058
153.6666667,14.42432254
153.7083333,14.42432254
153.75,14.39809719
153.7916667,14.39809719
153.8333333,14.42432254
153.875,14.42432254
153.9166667,14.57320609
153.9583333,14.46366058
154,14.43612483
154.0416667,14.46400836
154.0833333,14.50583365
154.125,14.54765895
154.1666667,14.54765895
154.2083333,14.58948424
154.25,14.58948424
154.2916667,14.58948424
154.3333333,14.58948424
154.375,14.48027375
154.4166667,14.54765895
154.4583333,14.54765895
154.5,14.50583365
154.5416667,14.46400836
154.5833333,14.46400836
154.625,14.43612483
154.6666667,14.39429953
154.7083333,14.35247424
154.75,14.35247424
154.7916667,14.35247424
154.8333333,14.39429953
154.875,14.39429953
154.9166667,14.48027375
154.9583333,14.46400836
155,14.41005269
155.0416667,14.45421031
155.0833333,14.49836793
155.125,14.52780634
155.1666667,14.57196397
155.2083333,14.57196397
155.25,14.61612159
155.2916667,14.61612159
155.3333333,14.61612159
155.375,14.57196397
155.4166667,14.57196397
155.4583333,14.52780634
155.5,14.52780634
155.5416667,14.49836793
155.5833333,14.49836793
155.625,14.49407483
155.6666667,14.41005269
155.7083333,14.41005269
155.75,14.36589506
155.7916667,14.36589506
155.8333333,14.41005269
155.875,14.41005269
155.9166667,14.45421031
155.9583333,14.49836793
156,14.24351986
156.0416667,14.2851898
156.0833333,14.30342039
156.125,14.36852967
156.1666667,14.36852967
156.2083333,14.4101996
156.25,14.4101996
156.2916667,14.43797956
156.3333333,14.4101996
156.375,14.4101996
156.4166667,14.4101996
156.4583333,14.4101996
156.5,14.36852967
156.5416667,14.36852967
156.5833333,14.2851898
156.625,14.30342039
156.6666667,14.2157399
156.7083333,14.17406997
156.75,14.17406997
156.7916667,14.17406997
156.8333333,14.17406997
156.875,14.17406997
156.9166667,14.2157399
156.9583333,14.2157399
157,13.59771549
157.0416667,13.59771549
157.0833333,13.41658902
157.125,13.6451377
157.1666667,13.6451377
157.2083333,13.6451377
157.25,13.6451377
157.2916667,13.6451377
157.3333333,13.59771549
157.375,13.59771549
157.4166667,13.56610069
157.4583333,13.51867849
157.5,13.42383407
157.5416667,13.37641187
157.5833333,13.34479707
157.625,13.41658902
157.6666667,13.20253045
157.7083333,13.17091565
157.75,13.17091565
157.7916667,13.12349344
157.8333333,13.12349344
157.875,13.12349344
157.9166667,13.17091565
157.9583333,13.17091565
158,12.61342655
158.0416667,12.65276633
158.0833333,12.59170771
158.125,12.711776
158.1666667,12.711776
158.2083333,12.711776
158.25,12.711776
158.2916667,12.711776
158.3333333,12.711776
158.375,12.711776
158.4166667,12.65276633
158.4583333,12.65276633
158.5,12.65276633
158.5416667,12.65276633
158.5833333,12.61342655
158.625,12.59170771
158.6666667,12.4954072
158.7083333,12.43639753
158.75,12.43639753
158.7916667,12.43639753
158.8333333,12.37738786
158.875,12.43639753
158.9166667,12.43639753
158.9583333,12.43639753
159,12.42689685
159.0416667,12.42689685
159.0833333,12.4893076
159.125,12.4893076
159.1666667,12.55171834
159.2083333,12.59332551
159.25,12.59332551
159.2916667,12.59332551
159.3333333,12.55778605
159.375,12.65573625
159.4166667,12.65573625
159.4583333,12.65573625
159.5,12.59332551
159.5416667,12.59332551
159.5833333,12.59332551
159.625,12.59332551
159.6666667,12.55171834
159.7083333,12.55171834
159.75,12.55171834
159.7916667,12.55778605
159.8333333,12.4893076
159.875,12.4893076
159.9166667,12.55171834
159.9583333,12.55171834
160,12.73082435
160.0416667,12.73082435
160.0833333,12.73082435
160.125,12.73082435
160.1666667,12.77128075
160.2083333,12.77128075
160.25,12.77128075
160.2916667,12.77128075
160.3333333,12.81131573
160.375,12.83196536
160.4166667,12.83196536
160.4583333,12.83196536
160.5,12.83196536
160.5416667,12.83196536
160.5833333,12.77128075
160.625,12.83196536
160.6666667,12.83196536
160.7083333,12.83196536
160.75,12.83196536
160.7916667,12.81131573
160.8333333,12.83196536
160.875,12.89264996
160.9166667,12.89264996
160.9583333,12.95333456
161,12.30313974
161.0416667,12.34878917
161.0833333,12.41726332
161.125,12.41726332
161.1666667,12.48573747
161.2083333,12.48573747
161.25,12.48573747
161.2916667,12.48573747
161.3333333,12.45245142
161.375,12.48573747
161.4166667,12.48573747
161.4583333,12.48573747
161.5,12.48573747
161.5416667,12.48573747
161.5833333,12.48573747
161.625,12.41726332
161.6666667,12.41726332
161.7083333,12.41726332
161.75,12.41726332
161.7916667,12.45245142
161.8333333,12.41726332
161.875,12.41726332
161.9166667,12.55421162
161.9583333,12.55421162
162,12.88486463
162.0416667,12.92927618
162.0833333,12.9958935
162.125,12.9958935
162.1666667,13.06251082
162.2083333,13.12912815
162.25,13.12912815
162.2916667,13.12912815
162.3333333,13.07870253
162.375,13.19574547
162.4166667,13.19574547
162.4583333,13.19574547
162.5,13.19574547
162.5416667,13.12912815
162.5833333,13.12912815
162.625,13.06251082
162.6666667,13.06251082
162.7083333,12.9958935
162.75,12.9958935
162.7916667,12.9958935
162.8333333,12.9958935
162.875,13.06251082
162.9166667,13.06251082
162.9583333,13.19574547
163,13.46947149
163.0416667,13.59319665
163.0833333,13.51144186
163.125,13.57439742
163.1666667,13.63735298
163.2083333,13.70030853
163.25,13.70030853
163.2916667,13.70030853
163.3333333,13.70030853
163.375,13.70030853
163.4166667,13.70030853
163.4583333,13.70030853
163.5,13.59319665
163.5416667,13.63735298
163.5833333,13.57439742
163.625,13.51144186
163.6666667,13.51144186
163.7083333,13.46947149
163.75,13.46947149
163.7916667,13.51144186
163.8333333,13.51144186
163.875,13.57439742
163.9166667,13.57439742
163.9583333,13.63735298
164,13.89513292
164.0416667,14.03152863
164.0833333,13.95808479
164.125,14.0000527
164.1666667,14.06300457
164.2083333,14.06300457
164.25,14.12595644
164.2916667,14.12595644
164.3333333,14.12595644
164.375,14.12595644
164.4166667,14.12595644
164.4583333,14.12595644
164.5,14.03152863
164.5416667,14.06300457
164.5833333,14.0000527
164.625,13.95808479
164.6666667,13.95808479
164.7083333,13.95808479
164.75,13.95808479
164.7916667,13.95808479
164.8333333,13.95808479
164.875,14.0000527
164.9166667,14.06300457
164.9583333,14.12595644
165,14.6786385
165.0416667,14.7804352
165.0833333,14.77482436
165.125,14.83253587
165.1666667,14.83253587
165.2083333,14.89024739
165.25,14.89024739
165.2916667,14.9479589
165.3333333,14.9479589
165.375,14.9479589
165.4166667,14.9479589
165.4583333,14.89024739
165.5,14.7804352
165.5416667,14.71711285
165.5833333,14.71711285
165.625,14.6786385
165.6666667,14.6786385
165.7083333,14.6786385
165.75,14.6786385
165.7916667,14.6786385
165.8333333,14.6786385
165.875,14.6786385
165.9166667,14.71711285
165.9583333,14.71711285
166,14.89443802
166.0416667,14.86442171
166.0833333,14.89443802
166.125,14.92610358
166.1666667,14.97360192
166.2083333,15.02110026
166.25,15.11609694
166.2916667,15.11609694
166.3333333,15.0685986
166.375,15.0685986
166.4166667,14.97360192
166.4583333,14.89443802
166.5,14.79944134
166.5416667,14.751943
166.5833333,14.72027745
166.625,14.67277911
166.6666667,14.67277911
166.7083333,14.67277911
166.75,14.86442171
166.7916667,14.751943
166.8333333,14.79944134
166.875,14.79944134
166.9166667,14.79944134
166.9583333,14.751943
167,14.69569819
167.0416667,14.79756258
167.0833333,14.79756258
167.125,14.88244956
167.1666667,14.93338175
167.2083333,14.80605127
167.25,15.08617833
167.2916667,15.08617833
167.3333333,15.03524613
167.375,14.98431394
167.4166667,14.93338175
167.4583333,14.88244956
167.5,14.79756258
167.5416667,14.74663038
167.5833333,14.6617434
167.625,14.61081121
167.6666667,14.61081121
167.7083333,14.61081121
167.75,14.80605127
167.7916667,14.6617434
167.8333333,14.69569819
167.875,14.69569819
167.9166667,14.74663038
