$NML Br1 inflow Tw year 2005 gap filled with dly averaged filled Tw YC 02/02/2023,
",,,",
Jday,Tw (deg C)
29.000,5.150042109
29.042,5.150042109
29.083,5.150042109
29.125,5.137416481
29.167,5.038321003
29.208,5.024853666
29.250,5.012228038
29.292,5.012228038
29.333,4.998760702
29.375,4.899665224
29.417,4.899665224
29.458,4.887039596
29.500,4.899665224
29.542,4.899665224
29.583,4.913132561
29.625,4.826662712
29.667,4.925758189
29.708,4.939225526
29.750,4.965318491
29.792,4.977944119
29.833,5.077039596
29.875,5.077039596
29.917,5.064413968
29.958,5.050946631
30.000,5.168709235
30.042,5.073875164
30.083,5.145733571
30.125,5.134616314
30.167,5.039041093
30.208,5.027923836
30.250,5.027923836
30.292,5.016065429
30.333,5.004207022
30.375,4.992348615
30.417,4.908631801
30.458,4.908631801
30.500,4.908631801
30.542,4.908631801
30.583,4.932348615
30.625,4.944207022
30.667,5.027923836
30.708,5.039041093
30.750,5.145733571
30.792,5.157591978
30.833,5.157591978
30.875,5.247193748
30.917,5.247193748
30.958,5.247193748
31.000,5.32080619
31.042,5.307565083
31.083,5.307565083
31.125,5.293441236
31.167,5.293441236
31.208,5.177538733
31.250,5.163414886
31.292,5.150173779
31.333,5.039804872
31.375,5.039804872
31.417,5.025681025
31.458,4.908895781
31.500,4.923019629
31.542,4.937143476
31.583,4.951267323
31.625,4.96450843
31.667,4.978632277
31.708,4.991873384
31.750,5.108658627
31.792,5.121899734
31.833,5.136023581
31.875,5.149264688
31.917,5.149264688
31.958,5.232268641
32.000,5.224834256
32.042,5.224834256
32.083,5.305878147
32.125,5.212117767
32.167,5.212117767
32.208,5.212117767
32.250,5.212117767
32.292,5.212117767
32.333,5.200196059
32.375,5.18747957
32.417,5.18747957
32.458,5.099579214
32.500,5.099579214
32.542,5.112295703
32.583,5.124217411
32.625,5.124217411
32.667,5.1369339
32.708,5.148855608
32.750,5.236755964
32.792,5.262188942
32.833,5.27411065
32.875,5.27411065
32.917,5.27411065
32.958,5.355949321
33.000,5.400221018
33.042,5.386685665
33.083,5.373150311
33.125,5.360460917
33.167,5.346925564
33.208,5.346925564
33.250,5.23484223
33.292,5.221306877
33.333,5.208617483
33.375,5.115435665
33.417,5.101900311
33.458,5.089210917
33.500,5.101900311
33.542,5.101900311
33.583,5.016041725
33.625,5.128125058
33.667,5.128125058
33.708,5.141660412
33.750,5.154349806
33.792,5.273756372
33.833,5.287291725
33.875,5.287291725
33.917,5.400221018
33.958,5.386685665
34.000,5.486395518
34.042,5.473277735
34.083,5.460979814
34.125,5.460979814
34.167,5.447862031
34.208,5.360390899
34.250,5.348092978
34.292,5.334975195
34.333,5.241672654
34.375,5.229374733
34.417,5.229374733
34.458,5.21625695
34.500,5.141903601
34.542,5.154201523
34.583,5.167319305
34.625,5.179617227
34.667,5.179617227
34.708,5.280206141
34.750,5.292504063
34.792,5.305621846
34.833,5.412042169
34.875,5.424340091
34.917,5.424340091
34.958,5.424340091
35.000,5.472876323
35.042,5.472876323
35.083,5.459162037
35.125,5.459162037
35.167,5.361876323
35.208,5.361876323
35.250,5.34901918
35.292,5.246162037
35.333,5.246162037
35.375,5.233304894
35.417,5.13601918
35.458,5.13601918
35.500,5.149733466
35.542,5.060590608
35.583,5.073447751
35.625,5.087162037
35.667,5.189162037
35.708,5.189162037
35.750,5.202876323
35.792,5.229447751
35.833,5.326733466
35.875,5.326733466
35.917,5.326733466
35.958,5.415876323
36.000,5.39341923
36.042,5.39341923
36.083,5.380811072
36.125,5.380811072
36.167,5.380811072
36.208,5.36736237
36.250,5.36736237
36.292,5.253839502
36.333,5.253839502
36.375,5.241231344
36.417,5.147411814
36.458,5.133963112
36.500,5.147411814
36.542,5.047337648
36.583,5.059945806
36.625,5.073394509
36.667,5.186917376
36.708,5.199525534
36.750,5.212974237
