$Tulloch branch 1 inflow year 2006 YC 04/11/2023,
",,,",
Jday,Inflow
133.375,226.4193685
133.4166667,226.2211525
133.4583333,226.1645193
133.5,226.2777856
133.5416667,226.4760017
133.5833333,226.5609514
133.625,226.8724338
133.6666667,226.3627354
133.7083333,226.8724338
133.75,226.7025343
133.7916667,223.9558261
133.8333333,167.1244514
133.875,165.9068385
133.9166667,158.2330454
133.9583333,17.24479683
134,12.11949596
134.0416667,44.00396432
134.0833333,44.45702959
134.125,45.16494407
134.1666667,45.05167776
134.2083333,45.1366275
134.25,57.93572136
134.2916667,218.9437916
134.3333333,225.6831375
134.375,225.6831375
134.4166667,225.4849214
134.4583333,225.6548209
134.5,224.9469064
134.5416667,225.6831375
134.5833333,225.4566048
134.625,226.2211525
134.6666667,225.7397706
134.7083333,225.3150219
134.75,225.5698712
134.7916667,226.0795696
134.8333333,226.391052
134.875,226.5326349
134.9166667,226.391052
134.9583333,226.2211525
135,218.0659776
135.0416667,52.64052103
135.0833333,44.25881354
135.125,44.23049696
135.1666667,44.23049696
135.2083333,44.28713011
135.25,47.57185332
135.2916667,112.8698853
135.3333333,115.8997593
135.375,123.8000849
135.4166667,120.1472462
135.4583333,118.0235028
135.5,121.5913918
135.5416667,129.7748832
135.5833333,221.5489169
135.625,225.9946198
135.6666667,226.0229364
135.7083333,225.8247204
135.75,225.9096701
135.7916667,225.7114541
135.8333333,226.0229364
135.875,225.9946198
135.9166667,226.3344188
135.9583333,221.1241682
136,118.4199349
136.0416667,47.43027042
136.0833333,44.25881354
136.125,44.25881354
136.1666667,44.1738638
136.2083333,43.60753221
136.25,44.20218038
136.2916667,61.95667563
136.3333333,218.9437916
136.375,225.3433385
136.4166667,225.513238
136.4583333,225.173439
136.5,225.3999717
136.5416667,225.7680872
136.5833333,226.3344188
136.625,223.9275096
136.6666667,225.3999717
136.7083333,225.2867054
136.75,225.5415546
136.7916667,225.5415546
136.8333333,225.0035396
136.875,221.0109019
136.9166667,120.770211
136.9583333,87.15843126
137,14.41313889
137.0416667,44.06059748
137.0833333,44.88177828
137.125,44.37207985
137.1666667,44.62692907
137.2083333,45.16494407
137.25,48.64788334
137.2916667,125.8105621
137.3333333,221.3223843
137.375,224.6071075
137.4166667,225.9096701
137.4583333,224.2956251
137.5,225.853037
137.5416667,225.2583888
137.5833333,224.635424
137.625,226.0229364
137.6666667,225.4849214
137.7083333,225.4849214
137.75,224.635424
137.7916667,226.3344188
137.8333333,224.6920572
137.875,226.3627354
137.9166667,225.6265043
137.9583333,225.5415546
138,217.6695455
138.0416667,56.32167634
138.0833333,44.68356223
138.125,44.88177828
138.1666667,45.39147671
138.2083333,44.65524565
138.25,46.94888857
138.2916667,113.0681014
138.3333333,116.4944075
138.375,115.786493
